KorDSS MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,4/16/21 15:10,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DATE,TIME,SITE,DATA ID,GPS Latitude (),GPS Longitude (),Barometer (mmHg),Cond (S/cm),Sp Cond (S/cm),Sal (psu),nLFCond (S/cm),TDS (mg/L),Temp (F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),pH,pH (mV),ORP (mV),Turbidity (FNU),TSS (mg/L),ODO (% Sat),ODO (mg/L),Pressure (psi a),Depth (m),Vertical Position (m),Corrected Depth (m)
1/13/21,1:15:04 PM,dl winter deep,,47.16668,-95.17492,709.5,20.6,34.3,0.01,34.8,22,39.4,48496.6,0,0,7.1,-32.1,134.7,37.94,0,4.2,0.55,7.916,5.566,5.132,5.838
1/13/21,1:17:09 PM,dl winter deep,,47.16668,-95.17493,709.4,21.1,35.1,0.02,35.5,23,39.4,47415.8,0,0,7,-27.2,134.5,38.98,0,2.1,0.27,8.614,6.057,5.626,6.329
1/13/21,1:18:35 PM,dl winter deep,,47.16667,-95.17497,709.3,21,34.9,0.02,35.4,23,39.5,47641.7,0,0,6.94,-23.8,131.3,39.8,0,0.6,0.08,9.366,6.585,6.148,6.857
1/13/21,1:20:35 PM,dl winter deep,,47.16667,-95.17494,709.3,21.6,35.9,0.02,36.4,23,39.4,46296.3,0,0,6.93,-23.6,126.9,39.3,0,0,0,10.06,7.073,6.636,7.345
1/13/21,1:22:06 PM,dl winter deep,,47.16668,-95.17493,709.2,21,34.9,0.02,35.4,23,39.5,47596.4,0,0,6.88,-20.9,125.9,42.55,0,-0.1,-0.01,10.742,7.553,7.114,7.825
1/13/21,1:27:24 PM,dl winter deep,,47.16668,-95.17493,709.2,22.1,36.6,0.02,37.1,24,39.5,45330.9,0,0,6.81,-17.4,-38.2,52.41,0,-0.2,-0.03,11.429,8.036,7.598,8.308
1/13/21,1:29:18 PM,dl winter deep,,47.16669,-95.17493,709.2,23.3,38.6,0.02,39.2,25,39.5,42992.3,0,0.1,6.78,-15.9,-57.8,65.92,0,-0.5,-0.07,12.138,8.534,8.095,8.806
1/13/21,1:31:38 PM,dl winter deep,,47.16669,-95.17492,709.1,24.4,40.6,0.02,41.1,26,39.4,41000.4,0,0.1,6.75,-14.2,-75.7,118.62,0,-0.7,-0.09,12.839,9.027,8.587,9.299
1/13/21,1:33:03 PM,dl winter deep,,47.16668,-95.17493,709.1,26.9,44.7,0.02,45.3,29,39.5,37216.2,0,0.1,6.71,-12.3,-81.7,168.53,0,-0.8,-0.1,13.553,9.529,9.09,9.801
1/13/21,1:34:13 PM,dl winter deep,,47.16668,-95.17493,709.2,28.6,47.6,0.02,48.2,31,39.5,34916.2,0,0.1,6.66,-9.3,-87.7,232.76,0,-0.8,-0.11,14.273,10.035,9.597,10.307
1/13/21,1:35:36 PM,dl winter deep,,47.16667,-95.17493,709.1,39.9,66.2,0.03,67.1,43,39.6,25056.4,0,0.1,6.57,-5,-98.2,437.8,0,-0.9,-0.11,15.01,10.553,10.114,10.825
