type,stid,lat,lon,year,month,day,hour,dattim,tmpf,prec,wspd,gust,drct,relh,solr,hffmc,hisi,hfwi,hdsr,gfmc,gisi,vpd,obtime
O,ITCM5,47.24,-95.19,2022,08,30,02,202208300200,60,0,2,6,286,90,1,62.2,0.5,0.4,0,80.4,1.4,2,207
O,ITCM5,47.24,-95.19,2022,08,30,01,202208300100,62,0,1,6,281,90,28,61.7,0.5,0.4,0,83,1.7,2,107
O,ITCM5,47.24,-95.19,2022,08,30,00,202208300000,68,0,3,11,278,73,144,61.2,0.6,0.4,0,86.4,3.3,6,7
O,ITCM5,47.24,-95.19,2022,08,29,23,202208292300,69,0,6,18,300,69,226,59.5,0.6,0.4,0,86.4,4.2,8,2307
O,ITCM5,47.24,-95.19,2022,08,29,22,202208292200,67,0,6,18,295,74,241,57.1,0.5,0.4,0,85.7,3.8,6,2207
O,ITCM5,47.24,-95.19,2022,08,29,21,202208292100,65,0,6,19,303,77,226,54.9,0.4,0.3,0,85.1,3.5,5,2107
O,ITCM5,47.24,-95.19,2022,08,29,20,202208292000,64,0,7,17,287,77,186,52.9,0.4,0.3,0,84.8,3.6,5,2007
O,ITCM5,47.24,-95.19,2022,08,29,19,202208291900,64,0,4,17,281,77,224,50.7,0.2,0.1,0,84.8,2.8,5,1907
O,ITCM5,47.24,-95.19,2022,08,29,18,202208291800,66,0,7,19,291,75,269,48.7,0.2,0.1,0,83.7,3.1,5,1807
O,ITCM5,47.24,-95.19,2022,08,29,17,202208291700,64,0,5,16,293,80,127,46,0.1,0.1,0,80.9,1.9,4,1707
O,ITCM5,47.24,-95.19,2022,08,29,16,202208291600,63,0,3,15,260,87,105,43.9,0.1,0.1,0,79,1.3,3,1607
O,ITCM5,47.24,-95.19,2022,08,29,15,202208291500,62,0,4,14,269,91,50,42.6,0.1,0.1,0,77.6,1.3,2,1507
O,ITCM5,47.24,-95.19,2022,08,29,14,202208291400,62,0,3,12,274,93,59,41.6,0.1,0.1,0,77.3,1.1,1,1407
O,ITCM5,47.24,-95.19,2022,08,29,13,202208291300,61,0,2,11,270,95,34,40.8,0,0,0,76.9,1,1,1307
O,ITCM5,47.24,-95.19,2022,08,29,12,202208291200,60,0,2,11,248,97,2,40.3,0,0,0,76.9,1,1,1207
O,ITCM5,47.24,-95.19,2022,08,29,11,202208291100,58,0,2,9,254,99,0,40,0,0,0,78.7,1.2,0,1107
O,ITCM5,47.24,-95.19,2022,08,29,10,202208291000,57,0,2,7,276,99,0,39.9,0,0,0,78.7,1.2,0,1007
O,ITCM5,47.24,-95.19,2022,08,29,09,202208290900,57,0,1,5,279,99,0,39.8,0,0,0,78.9,1.1,0,907
O,ITCM5,47.24,-95.19,2022,08,29,08,202208290800,58,0,2,6,304,100,0,39.7,0,0,0,78.3,1.1,0,807
O,ITCM5,47.24,-95.19,2022,08,29,07,202208290700,59,0,1,5,229,100,0,39.7,0,0,0,78.6,1.1,0,707
O,ITCM5,47.24,-95.19,2022,08,29,06,202208290600,59,0.01,0,3,,100,0,39.7,0,0,0,35.7,0,0,607
O,ITCM5,47.24,-95.19,2022,08,29,05,202208290500,58,0,0,2,,100,0,39.7,0,0,0,79.4,1.1,0,507
O,ITCM5,47.24,-95.19,2022,08,29,04,202208290400,60,0,0,2,,100,0,39.7,0,0,0,79.3,1.1,0,407
O,ITCM5,47.24,-95.19,2022,08,29,03,202208290300,61,0,1,2,144,100,0,39.7,0,0,0,78.6,1.1,0,307
O,ITCM5,47.24,-95.19,2022,08,29,02,202208290200,62,0,0,2,,99,1,39.7,0,0,0,2.7,0,0,207
O,ITCM5,47.24,-95.19,2022,08,29,01,202208290100,63,0,0,5,,98,9,39.6,0,0,0,2.3,0,0,107
O,ITCM5,47.24,-95.19,2022,08,29,00,202208290000,62,0.07,1,5,79,98,13,39.5,0,0,0,1.5,0,0,7
O,ITCM5,47.24,-95.19,2022,08,28,23,202208282300,63,0.07,4,21,309,91,50,54.6,0.4,0.4,0,9.4,0,2,2307
O,ITCM5,47.24,-95.19,2022,08,28,22,202208282200,72,0,3,9,180,84,70,76.4,1.1,1,0,85.5,2.9,4,2207
O,ITCM5,47.24,-95.19,2022,08,28,21,202208282100,73,0,5,14,175,81,193,76,1.2,1.3,0,87.7,4.6,5,2107
O,ITCM5,47.24,-95.19,2022,08,28,20,202208282000,73,0,7,19,190,80,359,75.4,1.4,1.8,0.1,88.1,5.8,6,2007
O,ITCM5,47.24,-95.19,2022,08,28,19,202208281900,73,0,7,13,145,80,257,74.7,1.3,1.6,0.1,88.1,5.7,6,1907
O,ITCM5,47.24,-95.19,2022,08,28,18,202208281800,72,0,3,16,207,83,272,73.9,0.9,0.8,0,88.2,4.2,5,1807
O,ITCM5,47.24,-95.19,2022,08,28,17,202208281700,76,0,7,17,155,75,561,73.4,1.2,1.1,0,88.2,5.8,8,1707
O,ITCM5,47.24,-95.19,2022,08,28,16,202208281600,71,0,5,15,186,84,233,72.2,1,0.8,0,82.9,2.4,4,1607
O,ITCM5,47.24,-95.19,2022,08,28,15,202208281500,69,0,5,11,187,88,105,71.5,1,0.8,0,80.6,1.8,3,1507
O,ITCM5,47.24,-95.19,2022,08,28,14,202208281400,68,0,6,15,193,89,73,71,1.1,0.9,0,79.8,1.8,3,1407
O,ITCM5,47.24,-95.19,2022,08,28,13,202208281300,66,0,4,12,196,91,23,70.5,0.9,0.8,0,79.4,1.5,2,1307
O,ITCM5,47.24,-95.19,2022,08,28,12,202208281200,65,0,5,17,181,91,3,70.2,0.9,0.8,0,79.4,1.6,2,1207
O,ITCM5,47.24,-95.19,2022,08,28,11,202208281100,64,0,5,16,182,91,0,69.8,0.9,0.8,0,80.7,1.8,2,1107
O,ITCM5,47.24,-95.19,2022,08,28,10,202208281000,65,0,7,17,177,87,0,69.4,1.1,0.9,0,81.6,2.4,3,1007
O,ITCM5,47.24,-95.19,2022,08,28,09,202208280900,66,0,7,19,183,85,0,68.7,1.1,0.9,0,82.2,2.6,3,907
O,ITCM5,47.24,-95.19,2022,08,28,08,202208280800,67,0,5,16,187,87,0,67.9,0.9,0.8,0,81.8,2.1,3,807
O,ITCM5,47.24,-95.19,2022,08,28,07,202208280700,68,0,6,16,191,87,0,67.2,0.9,0.8,0,81.9,2.3,3,707
O,ITCM5,47.24,-95.19,2022,08,28,06,202208280600,69,0,6,15,191,87,0,66.4,0.9,0.8,0,81.9,2.3,3,607
O,ITCM5,47.24,-95.19,2022,08,28,05,202208280500,70,0,5,12,180,85,0,65.5,0.8,0.7,0,82.5,2.3,4,507
O,ITCM5,47.24,-95.19,2022,08,28,04,202208280400,71,0,5,12,196,86,0,64.5,0.8,0.7,0,82.3,2.2,4,407
O,ITCM5,47.24,-95.19,2022,08,28,03,202208280300,71,0,5,11,187,89,0,63.5,0.7,0.6,0,81.6,2,3,307
O,ITCM5,47.24,-95.19,2022,08,28,02,202208280200,72,0,5,12,187,84,1,62.6,0.7,0.6,0,83.1,2.4,4,207
O,ITCM5,47.24,-95.19,2022,08,28,01,202208280100,74,0,4,11,185,79,33,61.3,0.6,0.5,0,85.8,3.2,6,107
O,ITCM5,47.24,-95.19,2022,08,28,00,202208280000,77,0,6,19,186,75,146,59.6,0.6,0.5,0,88.6,5.7,8,7
O,ITCM5,47.24,-95.19,2022,08,27,23,202208272300,80,0,4,16,182,70,353,57.1,0.5,0.4,0,91.3,7.1,10,2307
O,ITCM5,47.24,-95.19,2022,08,27,22,202208272200,80,0,5,14,201,67,419,54.1,0.4,0.3,0,91.3,7.8,12,2207
O,ITCM5,47.24,-95.19,2022,08,27,21,202208272100,80,0,7,17,193,67,468,50.5,0.3,0.3,0,91,8.7,12,2107
O,ITCM5,47.24,-95.19,2022,08,27,20,202208272000,78,0,7,16,178,76,353,46.3,0.2,0.2,0,90.9,8.6,8,2007
O,ITCM5,47.24,-95.19,2022,08,27,19,202208271900,79,0,7,17,189,66,700,42.8,0.1,0.1,0,93.1,11.8,12,1907
O,ITCM5,47.24,-95.19,2022,08,27,18,202208271800,80,0,6,16,182,66,669,38,0,0,0,92.6,10.1,12,1807
O,ITCM5,47.24,-95.19,2022,08,27,17,202208271700,76,0,6,14,186,75,564,33.1,0,0,0,88,5.2,8,1707
O,ITCM5,47.24,-95.19,2022,08,27,16,202208271600,69,0,6,14,192,87,184,29.2,0,0,0,81,2,3,1607
O,ITCM5,47.24,-95.19,2022,08,27,15,202208271500,67,0,6,16,188,91,100,27,0,0,0,79.1,1.7,2,1507
O,ITCM5,47.24,-95.19,2022,08,27,14,202208271400,65,0,6,14,175,94,53,25.4,0,0,0,78.5,1.6,1,1407
O,ITCM5,47.24,-95.19,2022,08,27,13,202208271300,64,0,6,13,182,95,33,24.3,0,0,0,78.5,1.6,1,1307
O,ITCM5,47.24,-95.19,2022,08,27,12,202208271200,64,0,3,12,151,94,5,23.4,0,0,0,78.5,1.3,1,1207
O,ITCM5,47.24,-95.19,2022,08,27,11,202208271100,63,0,5,19,183,93,0,22.5,0,0,0,80.1,1.7,1,1107
O,ITCM5,47.24,-95.19,2022,08,27,10,202208271000,63,0,6,14,176,92,0,21.4,0,0,0,80.3,1.9,2,1007
O,ITCM5,47.24,-95.19,2022,08,27,09,202208270900,63,0,4,11,166,93,0,20,0,0,0,80.2,1.6,1,907
O,ITCM5,47.24,-95.19,2022,08,27,08,202208270800,63,0.01,5,11,152,94,0,18.9,0,0,0,41,0.1,1,807
O,ITCM5,47.24,-95.19,2022,08,27,07,202208270700,62,0.17,3,7,153,100,0,17.9,0,0,0,0,0,0,707
O,ITCM5,47.24,-95.19,2022,08,27,06,202208270600,63,0.11,4,10,129,95,0,43,0.1,0.1,0,5.3,0,1,607
O,ITCM5,47.24,-95.19,2022,08,27,05,202208270500,65,0.03,2,5,173,91,0,77.6,1.1,1.7,0.1,7.6,0,2,507
O,ITCM5,47.24,-95.19,2022,08,27,04,202208270400,66,0,2,4,126,83,0,83.6,2.1,4.1,0.3,82.8,1.9,4,407
O,ITCM5,47.24,-95.19,2022,08,27,03,202208270300,66,0,1,3,108,86,0,83.8,1.9,3.6,0.3,82.3,1.6,3,307
O,ITCM5,47.24,-95.19,2022,08,27,02,202208270200,67,0,2,4,128,80,0,84.1,2.2,4.3,0.4,83.4,2,5,207
O,ITCM5,47.24,-95.19,2022,08,27,01,202208270100,68,0,0,2,,87,25,84.2,1.9,3.6,0.3,85.5,2.3,3,107
O,ITCM5,47.24,-95.19,2022,08,27,00,202208270000,72,0,0,3,,76,103,84.5,2,3.8,0.3,89.8,4.2,6,7
O,ITCM5,47.24,-95.19,2022,08,26,23,202208262300,74,0,0,9,,61,201,84.5,2,3.8,0.3,93,6.6,11,2307
O,ITCM5,47.24,-95.19,2022,08,26,22,202208262200,77,0,3,8,159,50,315,84.3,2.4,4.7,0.4,94.7,10.6,16,2207
O,ITCM5,47.24,-95.19,2022,08,26,21,202208262100,78,0,4,10,143,45,590,83.6,2.4,4.7,0.4,97.1,16,18,2107
O,ITCM5,47.24,-95.19,2022,08,26,20,202208262000,79,0,3,9,127,46,671,82.6,2,3.8,0.3,97.5,15.5,18,2007
O,ITCM5,47.24,-95.19,2022,08,26,19,202208261900,78,0,3,9,124,46,721,81.5,1.7,3.2,0.2,97.5,15.6,18,1907
O,ITCM5,47.24,-95.19,2022,08,26,18,202208261800,76,0,5,9,150,47,746,80.3,1.8,3.4,0.2,96.9,16.8,16,1807
O,ITCM5,47.24,-95.19,2022,08,26,17,202208261700,76,0,3,6,228,48,723,78.9,1.3,1.8,0.1,96.9,14.2,16,1707
O,ITCM5,47.24,-95.19,2022,08,26,16,202208261600,72,0,3,9,287,51,612,77.4,1.1,1.3,0,94.1,9.8,13,1607
O,ITCM5,47.24,-95.19,2022,08,26,15,202208261500,70,0,3,7,256,60,468,76,1,1,0,89.2,4.9,10,1507
O,ITCM5,47.24,-95.19,2022,08,26,14,202208261400,65,0,1,3,138,79,301,74.8,0.8,0.8,0,81.9,1.5,4,1407
O,ITCM5,47.24,-95.19,2022,08,26,13,202208261300,55,0,0,1,,98,141,74.4,0.7,0.7,0,77.3,0.9,0,1307
O,ITCM5,47.24,-95.19,2022,08,26,12,202208261200,46,0,0,0,,100,10,74.4,0.7,0.7,0,77.2,0.9,0,1207
O,ITCM5,47.24,-95.19,2022,08,26,11,202208261100,45,0,0,0,,100,0,74.5,0.7,0.7,0,79.7,1.1,0,1107
O,ITCM5,47.24,-95.19,2022,08,26,10,202208261000,47,0,0,2,,100,0,74.6,0.7,0.7,0,79.6,1.1,0,1007
O,ITCM5,47.24,-95.19,2022,08,26,09,202208260900,47,0,0,1,,100,0,74.7,0.8,0.8,0,79.6,1.1,0,907
O,ITCM5,47.24,-95.19,2022,08,26,08,202208260800,48,0,0,0,,100,0,74.8,0.8,0.8,0,79.6,1.1,0,807
O,ITCM5,47.24,-95.19,2022,08,26,07,202208260700,49,0,0,0,,100,0,75,0.8,0.8,0,79.6,1.1,0,707
O,ITCM5,47.24,-95.19,2022,08,26,06,202208260600,51,0,0,0,,100,0,75.2,0.8,0.8,0,79.5,1.1,0,607
O,ITCM5,47.24,-95.19,2022,08,26,05,202208260500,52,0,0,0,,100,0,75.4,0.8,0.8,0,79.5,1.1,0,507
O,ITCM5,47.24,-95.19,2022,08,26,04,202208260400,54,0,0,0,,100,0,75.6,0.8,0.8,0,79.4,1.1,0,407
O,ITCM5,47.24,-95.19,2022,08,26,03,202208260300,56,0,0,1,,99,0,75.8,0.8,0.8,0,79.7,1.1,0,307
O,ITCM5,47.24,-95.19,2022,08,26,02,202208260200,59,0,0,0,,96,1,75.9,0.8,0.8,0,81.6,1.4,1,207
O,ITCM5,47.24,-95.19,2022,08,26,01,202208260100,64,0,0,6,,80,37,75.9,0.8,0.8,0,87.4,3,4,107
O,ITCM5,47.24,-95.19,2022,08,26,00,202208260000,71,0,5,8,311,57,205,75.7,1.2,1.6,0.1,91.4,7.8,11,7
O,ITCM5,47.24,-95.19,2022,08,25,23,202208252300,74,0,3,10,348,52,349,74.2,0.9,0.9,0,94,9.7,14,2307
O,ITCM5,47.24,-95.19,2022,08,25,22,202208252200,73,0,3,13,320,57,416,72.4,0.9,0.9,0,94.8,10.8,12,2207
O,ITCM5,47.24,-95.19,2022,08,25,21,202208252100,76,0,3,9,290,49,689,70.7,0.8,0.8,0,97.1,14.7,16,2107
O,ITCM5,47.24,-95.19,2022,08,25,20,202208252000,75,0,3,10,354,50,674,68.3,0.8,0.8,0,97.1,14.7,15,2007
O,ITCM5,47.24,-95.19,2022,08,25,19,202208251900,75,0,2,16,16,55,718,65.7,0.6,0.6,0,97.1,13.6,13,1907
O,ITCM5,47.24,-95.19,2022,08,25,18,202208251800,73,0,5,11,352,61,623,63.2,0.7,0.7,0,95.2,13.4,11,1807
O,ITCM5,47.24,-95.19,2022,08,25,17,202208251700,73,0,4,9,53,58,821,60.5,0.6,0.5,0,96.2,14,12,1707
O,ITCM5,47.24,-95.19,2022,08,25,16,202208251600,71,0,2,9,343,63,686,57.5,0.4,0.3,0,94.1,9,10,1607
O,ITCM5,47.24,-95.19,2022,08,25,15,202208251500,68,0,3,7,104,73,468,55,0.4,0.3,0,87.8,4,6,1507
O,ITCM5,47.24,-95.19,2022,08,25,14,202208251400,65,0,2,5,21,82,310,52.9,0.3,0.3,0,82.8,1.8,4,1407
O,ITCM5,47.24,-95.19,2022,08,25,13,202208251300,61,0,2,4,310,92,156,51.6,0.2,0.2,0,79.2,1.2,1,1307
O,ITCM5,47.24,-95.19,2022,08,25,12,202208251200,57,0,0,3,,99,10,51,0.2,0.2,0,78.3,1,0,1207
O,ITCM5,47.24,-95.19,2022,08,25,11,202208251100,60,0,0,7,,93,0,50.9,0.2,0.2,0,81.1,1.3,1,1107
O,ITCM5,47.24,-95.19,2022,08,25,10,202208251000,60,0,3,7,50,93,0,50.6,0.2,0.2,0,80.3,1.5,1,1007
O,ITCM5,47.24,-95.19,2022,08,25,09,202208250900,61,0,1,8,13,94,0,50,0.2,0.2,0,80.4,1.3,1,907
O,ITCM5,47.24,-95.19,2022,08,25,08,202208250800,61,0,2,9,6,97,0,49.6,0.2,0.2,0,79.3,1.2,1,807
O,ITCM5,47.24,-95.19,2022,08,25,07,202208250700,61,0,4,9,13,97,0,49.3,0.2,0.2,0,79,1.4,1,707
O,ITCM5,47.24,-95.19,2022,08,25,06,202208250600,61,0,2,7,348,99,0,49,0.2,0.2,0,78.6,1.2,0,607
O,ITCM5,47.24,-95.19,2022,08,25,05,202208250500,61,0,4,7,338,99,0,48.9,0.2,0.2,0,78.3,1.3,0,507
O,ITCM5,47.24,-95.19,2022,08,25,04,202208250400,62,0,2,4,0,99,0,48.8,0.2,0.2,0,78.6,1.2,0,407
O,ITCM5,47.24,-95.19,2022,08,25,03,202208250300,62,0,2,10,24,98,0,48.7,0.2,0.2,0,79,1.2,0,307
O,ITCM5,47.24,-95.19,2022,08,25,02,202208250200,62,0,3,9,7,98,0,48.5,0.2,0.2,0,78.8,1.3,0,207
O,ITCM5,47.24,-95.19,2022,08,25,01,202208250100,63,0,5,14,15,98,8,48.3,0.2,0.2,0,15.1,0,0,107
O,ITCM5,47.24,-95.19,2022,08,25,00,202208250000,63,0.01,3,13,12,99,27,48,0.2,0.2,0,12.7,0,0,7
O,ITCM5,47.24,-95.19,2022,08,24,23,202208242300,64,0.01,3,10,6,98,65,47.9,0.2,0.2,0,35.9,0,0,2307
O,ITCM5,47.24,-95.19,2022,08,24,22,202208242200,65,0,3,12,5,91,95,47.7,0.2,0.2,0,80.9,1.6,2,2207
O,ITCM5,47.24,-95.19,2022,08,24,21,202208242100,65,0,5,13,5,90,107,46.8,0.2,0.2,0,80.8,1.9,2,2107
O,ITCM5,47.24,-95.19,2022,08,24,20,202208242000,66,0,4,12,6,85,148,45.6,0.1,0.1,0,80.6,1.7,3,2007
O,ITCM5,47.24,-95.19,2022,08,24,19,202208241900,69,0,6,16,351,81,412,43.9,0.1,0.1,0,78.8,1.6,5,1907
O,ITCM5,47.24,-95.19,2022,08,24,18,202208241800,71,0,5,13,349,76,616,41.5,0.1,0.1,0,69.3,0.9,6,1807
O,ITCM5,47.24,-95.19,2022,08,24,17,202208241700,73,0,6,12,346,79,413,38.5,0,0,0,40.9,0.1,6,1707
O,ITCM5,47.24,-95.19,2022,08,24,16,202208241600,69,0,3,8,332,95,149,35.4,0,0,0,9.1,0,1,1607
O,ITCM5,47.24,-95.19,2022,08,24,15,202208241500,67,0,2,8,21,98,152,34.7,0,0,0,2.4,0,0,1507
O,ITCM5,47.24,-95.19,2022,08,24,14,202208241400,65,0.15,1,7,337,100,55,34.4,0,0,0,0,0,0,1407
O,ITCM5,47.24,-95.19,2022,08,24,13,202208241300,63,0,1,6,30,100,32,77.5,1,1.2,0,76.9,0.9,0,1307
O,ITCM5,47.24,-95.19,2022,08,24,12,202208241200,61,0,0,3,,100,4,78,0.9,0.9,0,76.9,0.9,0,1207
O,ITCM5,47.24,-95.19,2022,08,24,11,202208241100,60,0,0,2,,100,0,78.5,1,1.2,0,79.3,1.1,0,1107
O,ITCM5,47.24,-95.19,2022,08,24,10,202208241000,60,0,0,1,,100,0,79,1,1.2,0,79.3,1.1,0,1007
O,ITCM5,47.24,-95.19,2022,08,24,09,202208240900,59,0,0,7,,100,0,79.6,1.1,1.5,0.1,79.3,1.1,0,907
O,ITCM5,47.24,-95.19,2022,08,24,08,202208240800,59,0,0,2,,100,0,80.2,1.2,1.8,0.1,79.3,1.1,0,807
O,ITCM5,47.24,-95.19,2022,08,24,07,202208240700,60,0,0,1,,100,0,80.9,1.3,2.1,0.1,79.3,1.1,0,707
O,ITCM5,47.24,-95.19,2022,08,24,06,202208240600,60,0,0,1,,100,0,81.7,1.4,2.3,0.1,79.3,1.1,0,607
O,ITCM5,47.24,-95.19,2022,08,24,05,202208240500,61,0,0,0,,100,0,82.6,1.5,2.5,0.1,79.3,1.1,0,507
O,ITCM5,47.24,-95.19,2022,08,24,04,202208240400,62,0,0,1,,99,0,83.6,1.7,3,0.2,79.6,1.1,0,407
O,ITCM5,47.24,-95.19,2022,08,24,03,202208240300,63,0,0,1,,98,0,84.7,2,3.6,0.3,79.9,1.1,0,307
O,ITCM5,47.24,-95.19,2022,08,24,02,202208240200,65,0,0,1,,94,1,85.8,2.4,4.4,0.4,83.2,1.6,1,207
O,ITCM5,47.24,-95.19,2022,08,24,01,202208240100,72,0,0,6,,71,43,86.7,2.7,5,0.5,89.9,4.2,8,107
O,ITCM5,47.24,-95.19,2022,08,24,00,202208240000,80,0,2,9,159,49,205,86.8,3.2,5.9,0.6,94.1,9,18,7
O,ITCM5,47.24,-95.19,2022,08,23,23,202208232300,82,0,3,8,182,47,379,86.5,3.3,6.1,0.7,96.3,13.2,20,2307
O,ITCM5,47.24,-95.19,2022,08,23,22,202208232200,84,0,2,10,172,45,568,86,2.8,5.2,0.5,98.8,16.9,22,2207
O,ITCM5,47.24,-95.19,2022,08,23,21,202208232100,84,0,3,10,192,45,682,85.3,2.8,5.2,0.5,98.8,18.4,22,2107
O,ITCM5,47.24,-95.19,2022,08,23,20,202208232000,83,0,3,10,147,46,776,84.4,2.5,4.6,0.4,98.8,18.3,21,2007
O,ITCM5,47.24,-95.19,2022,08,23,19,202208231900,83,0,5,10,156,48,804,83.4,2.5,4.6,0.4,98.7,21.3,20,1907
O,ITCM5,47.24,-95.19,2022,08,23,18,202208231800,82,0,3,9,206,48,790,82.2,1.9,3.4,0.2,98.7,18,19,1807
O,ITCM5,47.24,-95.19,2022,08,23,17,202208231700,81,0,2,7,138,47,732,81,1.5,2,0.1,98.5,16.2,19,1707
O,ITCM5,47.24,-95.19,2022,08,23,16,202208231600,80,0,3,6,154,45,621,79.7,1.4,1.8,0.1,96,12.7,19,1607
O,ITCM5,47.24,-95.19,2022,08,23,15,202208231500,78,0,2,4,135,61,470,78.1,1.1,1,0,90.4,5.4,13,1507
O,ITCM5,47.24,-95.19,2022,08,23,14,202208231400,69,0,1,3,84,83,202,77,0.9,0.8,0,80.4,1.3,4,1407
O,ITCM5,47.24,-95.19,2022,08,23,13,202208231300,64,0,0,2,,100,119,76.7,0.9,0.8,0,77.1,0.9,0,1307
O,ITCM5,47.24,-95.19,2022,08,23,12,202208231200,58,0,0,1,,100,8,77,0.9,0.8,0,77.1,0.9,0,1207
O,ITCM5,47.24,-95.19,2022,08,23,11,202208231100,56,0,0,1,,100,0,77.4,0.9,0.8,0,79.4,1.1,0,1107
O,ITCM5,47.24,-95.19,2022,08,23,10,202208231000,57,0,0,2,,100,0,77.8,0.9,0.8,0,79.4,1.1,0,1007
O,ITCM5,47.24,-95.19,2022,08,23,09,202208230900,58,0,0,0,,100,0,78.2,1,0.9,0,79.4,1.1,0,907
O,ITCM5,47.24,-95.19,2022,08,23,08,202208230800,58,0,0,0,,100,0,78.7,1,0.9,0,79.4,1.1,0,807
O,ITCM5,47.24,-95.19,2022,08,23,07,202208230700,59,0,0,0,,100,0,79.2,1,0.9,0,79.3,1.1,0,707
O,ITCM5,47.24,-95.19,2022,08,23,06,202208230600,60,0,0,0,,100,0,79.8,1.1,1,0,79.3,1.1,0,607
O,ITCM5,47.24,-95.19,2022,08,23,05,202208230500,60,0,0,0,,100,0,80.5,1.2,1.3,0,79.3,1.1,0,507
O,ITCM5,47.24,-95.19,2022,08,23,04,202208230400,62,0,0,0,,100,0,81.3,1.3,1.6,0.1,79.3,1.1,0,407
O,ITCM5,47.24,-95.19,2022,08,23,03,202208230300,63,0,0,1,,99,0,82.2,1.5,2,0.1,79.6,1.1,0,307
O,ITCM5,47.24,-95.19,2022,08,23,02,202208230200,65,0,0,0,,96,2,83.1,1.6,2.2,0.1,82,1.4,1,207
